Epoch Number, Total Squared Error, 
0, 4.331289, 
1, 4.310754, 
2, 4.297010, 
3, 4.287809, 
4, 4.281626, 
5, 4.277440, 
6, 4.274572, 
7, 4.272576, 
8, 4.271158, 
9, 4.270127, 
10, 4.269354, 
11, 4.268757, 
12, 4.268281, 
13, 4.267888, 
14, 4.267555, 
15, 4.267263, 
16, 4.267003, 
17, 4.266764, 
18, 4.266541, 
19, 4.266330, 
20, 4.266125, 
21, 4.265923, 
22, 4.265722, 
23, 4.265519, 
24, 4.265309, 
25, 4.265092, 
26, 4.264862, 
27, 4.264619, 
28, 4.264357, 
29, 4.264074, 
30, 4.263766, 
31, 4.263429, 
32, 4.263059, 
33, 4.262651, 
34, 4.262201, 
35, 4.261703, 
36, 4.261152, 
37, 4.260542, 
38, 4.259865, 
39, 4.259116, 
40, 4.258285, 
41, 4.257365, 
42, 4.256346, 
43, 4.255218, 
44, 4.253971, 
45, 4.252592, 
46, 4.251069, 
47, 4.249386, 
48, 4.247529, 
49, 4.245481, 
50, 4.243224, 
51, 4.240737, 
52, 4.237999, 
53, 4.234987, 
54, 4.231674, 
55, 4.228033, 
56, 4.224034, 
57, 4.219643, 
58, 4.214827, 
59, 4.209547, 
60, 4.203763, 
61, 4.197430, 
62, 4.190502, 
63, 4.182929, 
64, 4.174657, 
65, 4.165632, 
66, 4.155793, 
67, 4.145078, 
68, 4.133423, 
69, 4.120758, 
70, 4.107016, 
71, 4.092122, 
72, 4.076004, 
73, 4.058586, 
74, 4.039792, 
75, 4.019544, 
76, 3.997766, 
77, 3.974379, 
78, 3.949305, 
79, 3.922466, 
80, 3.893782, 
81, 3.863173, 
82, 3.830554, 
83, 3.795840, 
84, 3.758937, 
85, 3.719748, 
86, 3.678168, 
87, 3.634084, 
88, 3.587373, 
89, 3.537904, 
90, 3.485543, 
91, 3.430148, 
92, 3.371582, 
93, 3.309717, 
94, 3.244440, 
95, 3.175670, 
96, 3.103364, 
97, 3.027533, 
98, 2.948253, 
99, 2.865672, 
100, 2.780024, 
101, 2.691624, 
102, 2.600868, 
103, 2.508226, 
104, 2.414230, 
105, 2.319455, 
106, 2.224499, 
107, 2.129965, 
108, 2.036438, 
109, 1.944469, 
110, 1.854556, 
111, 1.767134, 
112, 1.682568, 
113, 1.601150, 
114, 1.523096, 
115, 1.448551, 
116, 1.377597, 
117, 1.310259, 
118, 1.246511, 
119, 1.186290, 
120, 1.129497, 
121, 1.076012, 
122, 1.025696, 
123, 0.978399, 
124, 0.933963, 
125, 0.892229, 
126, 0.853037, 
127, 0.816231, 
128, 0.781659, 
129, 0.749177, 
130, 0.718644, 
131, 0.689929, 
132, 0.662909, 
133, 0.637468, 
134, 0.613497, 
135, 0.590894, 
136, 0.569565, 
137, 0.549424, 
138, 0.530388, 
139, 0.512383, 
140, 0.495339, 
141, 0.479192, 
142, 0.463881, 
143, 0.449352, 
144, 0.435554, 
145, 0.422440, 
146, 0.409965, 
147, 0.398089, 
148, 0.386776, 
149, 0.375989, 
150, 0.365698, 
151, 0.355872, 
152, 0.346483, 
153, 0.337505, 
154, 0.328915, 
155, 0.320691, 
156, 0.312811, 
157, 0.305256, 
158, 0.298009, 
159, 0.291053, 
160, 0.284371, 
161, 0.277949, 
162, 0.271774, 
163, 0.265833, 
164, 0.260113, 
165, 0.254604, 
166, 0.249295, 
167, 0.244175, 
168, 0.239237, 
169, 0.234471, 
170, 0.229868, 
171, 0.225422, 
172, 0.221124, 
173, 0.216969, 
174, 0.212949, 
175, 0.209059, 
176, 0.205292, 
177, 0.201644, 
178, 0.198108, 
179, 0.194682, 
180, 0.191358, 
181, 0.188135, 
182, 0.185006, 
183, 0.181969, 
184, 0.179020, 
185, 0.176154, 
186, 0.173370, 
187, 0.170663, 
188, 0.168031, 
189, 0.165470, 
190, 0.162979, 
191, 0.160554, 
192, 0.158192, 
193, 0.155893, 
194, 0.153653, 
195, 0.151470, 
196, 0.149342, 
197, 0.147267, 
198, 0.145244, 
199, 0.143270, 
200, 0.141344, 
201, 0.139464, 
202, 0.137629, 
203, 0.135838, 
204, 0.134087, 
205, 0.132378, 
206, 0.130707, 
207, 0.129074, 
208, 0.127478, 
209, 0.125917, 
210, 0.124391, 
211, 0.122897, 
212, 0.121436, 
213, 0.120007, 
214, 0.118607, 
215, 0.117237, 
216, 0.115896, 
217, 0.114582, 
218, 0.113295, 
219, 0.112034, 
220, 0.110799, 
221, 0.109588, 
222, 0.108401, 
223, 0.107237, 
224, 0.106096, 
225, 0.104977, 
226, 0.103880, 
227, 0.102803, 
228, 0.101746, 
229, 0.100709, 
230, 0.099692, 
