Epoch Number, Total Squared Error,Epoch Number, Total Squared Error,Epoch Number, Total Squared Error,,,
0,4.406677,0,4.431209,0,4.327624,2.2033385,2.2156045,2.163812
1,4.347249,1,4.358968,1,4.305451,2.1736245,2.179484,2.1527255
2,4.303247,2,4.334158,2,4.284832,2.1516235,2.167079,2.142416
3,4.271289,3,4.315524,3,4.268384,2.1356445,2.157762,2.134192
4,4.243923,4,4.268388,4,4.257405,2.1219615,2.134194,2.1287025
5,4.224049,5,4.235709,5,4.251959,2.1120245,2.1178545,2.1259795
6,4.194002,6,4.231566,6,4.250519,2.097001,2.115783,2.1252595
7,4.131175,7,4.23567,7,4.251535,2.0655875,2.117835,2.1257675
8,4.020184,8,4.240194,8,4.254444,2.010092,2.120097,2.127222
9,3.842406,9,4.24484,9,4.258882,1.921203,2.12242,2.129441
10,3.579701,10,4.246318,10,4.264113,1.7898505,2.123159,2.1320565
11,3.220774,11,4.24468,11,4.269311,1.610387,2.12234,2.1346555
12,2.74686,12,4.243713,12,4.273882,1.37343,2.1218565,2.136941
13,2.178657,13,4.245075,13,4.277533,1.0893285,2.1225375,2.1387665
14,1.646569,14,4.247665,14,4.28027,0.8232845,2.1238325,2.140135
15,1.18832,15,4.250259,15,4.282307,0.59416,2.1251295,2.1411535
16,0.776631,16,4.252214,16,4.283886,0.3883155,2.126107,2.141943
17,0.456295,17,4.253267,17,4.285144,0.2281475,2.1266335,2.142572
18,0.268643,18,4.253732,18,4.286053,0.1343215,2.126866,2.1430265
19,0.170139,19,4.254271,19,4.286367,0.0850695,2.1271355,2.1431835
20,0.116605,20,4.255307,20,4.28554,0.0583025,2.1276535,2.14277
21,0.085655,21,4.256818,21,4.282521,0.0428275,2.128409,2.1412605
,,22,4.258566,22,4.275322,,2.129283,2.137661
,,23,4.260322,23,4.260156,,2.130161,2.130078
,,24,4.261983,24,4.229907,,2.1309915,2.1149535
,,25,4.263581,25,4.17174,,2.1317905,2.08587
,,26,4.265209,26,4.064408,,2.1326045,2.032204
,,27,4.266901,27,3.877706,,2.1334505,1.938853
,,28,4.26859,28,3.577988,,2.134295,1.788994
,,29,4.270131,29,3.137392,,2.1350655,1.568696
,,30,4.271343,30,2.541309,,2.1356715,1.2706545
,,31,4.272027,31,1.838485,,2.1360135,0.9192425
,,32,4.271924,32,1.18832,,2.135962,0.59416
,,33,4.270636,33,0.714603,,2.135318,0.3573015
,,34,4.267489,34,0.422994,,2.1337445,0.211497
,,35,4.261358,35,0.255359,,2.130679,0.1276795
,,36,4.250384,36,0.1637,,2.125192,0.08185
,,37,4.231561,37,0.114129,,2.1157805,0.0570645
,,38,4.200139,38,0.086173,,2.1000695,0.0430865
,,39,4.149023,,,,2.0745115,
,,40,4.068794,,,,2.034397,
,,41,3.949784,,,,1.974892,
,,42,3.787491,,,,1.8937455,
,,43,3.588417,,,,1.7942085,
,,44,3.366431,,,,1.6832155,
,,45,3.125677,,,,1.5628385,
,,46,2.847892,,,,1.423946,
,,47,2.50742,,,,1.25371,
,,48,2.095961,,,,1.0479805,
,,49,1.597042,,,,0.798521,
,,50,1.083653,,,,0.5418265,
,,51,0.689394,,,,0.344697,
,,52,0.432308,,,,0.216154,
,,53,0.282168,,,,0.141084,
,,54,0.196046,,,,0.098023,
,,55,0.143431,,,,0.0717155,
,,56,0.109,,,,0.0545,
,,57,0.085809,,,,0.0429045,
