Epoch Number, Total Squared Error, 
0, 4.327624, 
1, 4.305451, 
2, 4.284832, 
3, 4.268384, 
4, 4.257405, 
5, 4.251959, 
6, 4.250519, 
7, 4.251535, 
8, 4.254444, 
9, 4.258882, 
10, 4.264113, 
11, 4.269311, 
12, 4.273882, 
13, 4.277533, 
14, 4.280270, 
15, 4.282307, 
16, 4.283886, 
17, 4.285144, 
18, 4.286053, 
19, 4.286367, 
20, 4.285540, 
21, 4.282521, 
22, 4.275322, 
23, 4.260156, 
24, 4.229907, 
25, 4.171740, 
26, 4.064408, 
27, 3.877706, 
28, 3.577988, 
29, 3.137392, 
30, 2.541309, 
31, 1.838485, 
32, 1.188320, 
33, 0.714603, 
34, 0.422994, 
35, 0.255359, 
36, 0.163700, 
37, 0.114129, 
38, 0.086173, 
