Epoch Number, Total Squared Error,Epoch Number, Total Squared Error,Epoch Number, Total Squared Error,Epoch Number, Total Squared Error, ,,,
0,4.273727,0,4.420709,0,4.358153,0,4.442322,2.1368635,2.2103545,2.1790765,2.221161
1,4.271255,1,4.375361,1,4.338991,1,4.395617,2.1356275,2.1876805,2.1694955,2.1978085
2,4.269085,2,4.343652,2,4.324909,2,4.363662,2.1345425,2.171826,2.1624545,2.181831
3,4.267163,3,4.321544,3,4.314282,3,4.341915,2.1335815,2.160772,2.157141,2.1709575
4,4.26545,4,4.30606,4,4.306031,4,4.327075,2.132725,2.15303,2.1530155,2.1635375
5,4.263915,5,4.295093,5,4.299438,5,4.316847,2.1319575,2.1475465,2.149719,2.1584235
6,4.262536,6,4.287192,6,4.294026,6,4.309679,2.131268,2.143596,2.147013,2.1548395
7,4.261293,7,4.281371,7,4.289475,7,4.304537,2.1306465,2.1406855,2.1447375,2.1522685
8,4.26017,8,4.276968,8,4.285571,8,4.30074,2.130085,2.138484,2.1427855,2.15037
9,4.259155,9,4.27354,9,4.282164,9,4.297844,2.1295775,2.13677,2.141082,2.148922
10,4.258236,10,4.270793,10,4.279154,10,4.295558,2.129118,2.1353965,2.139577,2.147779
11,4.257404,11,4.268529,11,4.276467,11,4.293692,2.128702,2.1342645,2.1382335,2.146846
12,4.256649,12,4.266618,12,4.274051,12,4.292123,2.1283245,2.133309,2.1370255,2.1460615
13,4.255964,13,4.264971,13,4.271865,13,4.29077,2.127982,2.1324855,2.1359325,2.145385
14,4.255342,14,4.263527,14,4.269881,14,4.28958,2.127671,2.1317635,2.1349405,2.14479
15,4.254776,15,4.262245,15,4.268074,15,4.288517,2.127388,2.1311225,2.134037,2.1442585
16,4.254261,16,4.261097,16,4.266426,16,4.287557,2.1271305,2.1305485,2.133213,2.1437785
17,4.253791,17,4.260062,17,4.264921,17,4.286684,2.1268955,2.130031,2.1324605,2.143342
18,4.25336,18,4.259125,18,4.263545,18,4.285887,2.12668,2.1295625,2.1317725,2.1429435
19,4.252964,19,4.258276,19,4.262288,19,4.285158,2.126482,2.129138,2.131144,2.142579
20,4.252597,20,4.257505,20,4.261139,20,4.28449,2.1262985,2.1287525,2.1305695,2.142245
21,4.252257,21,4.256806,21,4.260091,21,4.283878,2.1261285,2.128403,2.1300455,2.141939
22,4.251937,22,4.256174,22,4.259134,22,4.28332,2.1259685,2.128087,2.129567,2.14166
23,4.251634,23,4.255604,23,4.258262,23,4.282812,2.125817,2.127802,2.129131,2.141406
24,4.251344,24,4.255093,24,4.257469,24,4.282351,2.125672,2.1275465,2.1287345,2.1411755
25,4.251063,25,4.254635,25,4.25675,25,4.281935,2.1255315,2.1273175,2.128375,2.1409675
26,4.250787,26,4.25423,26,4.256098,26,4.281561,2.1253935,2.127115,2.128049,2.1407805
27,4.250511,27,4.253873,27,4.25551,27,4.281228,2.1252555,2.1269365,2.127755,2.140614
28,4.250232,28,4.253562,28,4.254981,28,4.280934,2.125116,2.126781,2.1274905,2.140467
29,4.249946,29,4.253295,29,4.254507,29,4.280676,2.124973,2.1266475,2.1272535,2.140338
30,4.249648,30,4.25307,30,4.254085,30,4.280454,2.124824,2.126535,2.1270425,2.140227
31,4.249335,31,4.252885,31,4.253711,31,4.280265,2.1246675,2.1264425,2.1268555,2.1401325
32,4.249001,32,4.252738,32,4.253382,32,4.280108,2.1245005,2.126369,2.126691,2.140054
33,4.248643,33,4.252626,33,4.253095,33,4.279981,2.1243215,2.126313,2.1265475,2.1399905
34,4.248254,34,4.25255,34,4.252848,34,4.279883,2.124127,2.126275,2.126424,2.1399415
35,4.247831,35,4.252506,35,4.252638,35,4.279813,2.1239155,2.126253,2.126319,2.1399065
36,4.247367,36,4.252493,36,4.252464,36,4.279768,2.1236835,2.1262465,2.126232,2.139884
37,4.246857,37,4.252511,37,4.252322,37,4.279749,2.1234285,2.1262555,2.126161,2.1398745
38,4.246294,38,4.252558,38,4.252212,38,4.279752,2.123147,2.126279,2.126106,2.139876
39,4.245672,39,4.252632,39,4.25213,39,4.279777,2.122836,2.126316,2.126065,2.1398885
40,4.244983,40,4.252733,40,4.252077,40,4.279823,2.1224915,2.1263665,2.1260385,2.1399115
41,4.24422,41,4.252858,41,4.252049,41,4.279888,2.12211,2.126429,2.1260245,2.139944
42,4.243373,42,4.253009,42,4.252046,42,4.279971,2.1216865,2.1265045,2.126023,2.1399855
43,4.242433,43,4.253182,43,4.252066,43,4.280071,2.1212165,2.126591,2.126033,2.1400355
44,4.241389,44,4.253379,44,4.252108,44,4.280186,2.1206945,2.1266895,2.126054,2.140093
