Epoch Number, Total Squared Error, 
0, 1.029626, 
1, 1.028835, 
2, 1.028183, 
3, 1.027646, 
4, 1.027204, 
5, 1.026840, 
6, 1.026541, 
7, 1.026295, 
8, 1.026093, 
9, 1.025927, 
10, 1.025790, 
11, 1.025678, 
12, 1.025586, 
13, 1.025511, 
14, 1.025449, 
15, 1.025398, 
16, 1.025357, 
17, 1.025323, 
18, 1.025295, 
19, 1.025272, 
20, 1.025254, 
21, 1.025239, 
22, 1.025227, 
23, 1.025217, 
24, 1.025209, 
25, 1.025202, 
26, 1.025197, 
27, 1.025193, 
28, 1.025190, 
29, 1.025188, 
30, 1.025186, 
31, 1.025185, 
32, 1.025184, 
33, 1.025183, 
34, 1.025183, 
35, 1.025183, 
36, 1.025183, 
37, 1.025183, 
38, 1.025183, 
39, 1.025184, 
40, 1.025185, 
41, 1.025185, 
42, 1.025186, 
43, 1.025187, 
44, 1.025187, 
45, 1.025188, 
46, 1.025189, 
47, 1.025190, 
48, 1.025191, 
49, 1.025192, 
50, 1.025193, 
51, 1.025194, 
52, 1.025194, 
53, 1.025195, 
54, 1.025196, 
55, 1.025197, 
56, 1.025198, 
57, 1.025199, 
58, 1.025200, 
59, 1.025201, 
60, 1.025202, 
61, 1.025203, 
62, 1.025204, 
63, 1.025205, 
64, 1.025206, 
65, 1.025207, 
66, 1.025208, 
67, 1.025209, 
68, 1.025210, 
69, 1.025211, 
70, 1.025212, 
71, 1.025213, 
72, 1.025214, 
73, 1.025215, 
74, 1.025216, 
75, 1.025217, 
76, 1.025218, 
77, 1.025219, 
78, 1.025220, 
79, 1.025221, 
80, 1.025222, 
81, 1.025223, 
82, 1.025224, 
83, 1.025225, 
84, 1.025226, 
85, 1.025227, 
86, 1.025228, 
87, 1.025229, 
88, 1.025230, 
89, 1.025231, 
90, 1.025232, 
91, 1.025232, 
92, 1.025233, 
93, 1.025234, 
94, 1.025235, 
95, 1.025236, 
96, 1.025237, 
97, 1.025238, 
98, 1.025239, 
99, 1.025240, 
100, 1.025241, 
101, 1.025242, 
102, 1.025243, 
103, 1.025244, 
104, 1.025245, 
105, 1.025246, 
106, 1.025247, 
107, 1.025248, 
108, 1.025249, 
109, 1.025250, 
110, 1.025251, 
111, 1.025252, 
112, 1.025253, 
113, 1.025254, 
114, 1.025255, 
115, 1.025256, 
116, 1.025257, 
117, 1.025258, 
118, 1.025259, 
119, 1.025259, 
120, 1.025260, 
121, 1.025261, 
122, 1.025262, 
123, 1.025263, 
124, 1.025264, 
125, 1.025265, 
126, 1.025266, 
127, 1.025267, 
128, 1.025268, 
129, 1.025269, 
130, 1.025270, 
131, 1.025271, 
132, 1.025272, 
133, 1.025273, 
134, 1.025274, 
135, 1.025275, 
136, 1.025276, 
137, 1.025277, 
138, 1.025277, 
139, 1.025278, 
140, 1.025279, 
141, 1.025280, 
142, 1.025281, 
143, 1.025282, 
144, 1.025283, 
145, 1.025284, 
146, 1.025285, 
147, 1.025286, 
148, 1.025287, 
149, 1.025288, 
150, 1.025289, 
151, 1.025290, 
152, 1.025291, 
153, 1.025291, 
154, 1.025292, 
155, 1.025293, 
156, 1.025294, 
157, 1.025295, 
158, 1.025296, 
159, 1.025297, 
160, 1.025298, 
161, 1.025299, 
162, 1.025300, 
163, 1.025301, 
164, 1.025302, 
165, 1.025302, 
166, 1.025303, 
167, 1.025304, 
168, 1.025305, 
169, 1.025306, 
170, 1.025307, 
171, 1.025308, 
172, 1.025309, 
