Epoch Number, Total Squared Error,Epoch Number, Total Squared Error,Epoch Number, Total Squared Error, ,,
0,1.058914,0,1.061119,0,1.205255,0.529457,0.5305595,0.6026275
1,1.05319,1,1.055559,1,1.181601,0.526595,0.5277795,0.5908005
2,1.048447,2,1.050748,2,1.160037,0.5242235,0.525374,0.5800185
3,1.044532,3,1.046596,3,1.140651,0.522266,0.523298,0.5703255
4,1.04131,4,1.043024,4,1.12345,0.520655,0.521512,0.561725
5,1.038664,5,1.039958,5,1.108371,0.519332,0.519979,0.5541855
6,1.036495,6,1.03733,6,1.095294,0.5182475,0.518665,0.547647
7,1.034721,7,1.035083,7,1.084064,0.5173605,0.5175415,0.542032
8,1.033271,8,1.033163,8,1.074502,0.5166355,0.5165815,0.537251
9,1.032088,9,1.031526,9,1.066419,0.516044,0.515763,0.5332095
10,1.031122,10,1.030131,10,1.059631,0.515561,0.5150655,0.5298155
11,1.030334,11,1.028944,11,1.053961,0.515167,0.514472,0.5269805
12,1.029692,12,1.027934,12,1.049247,0.514846,0.513967,0.5246235
13,1.029169,13,1.027077,13,1.045342,0.5145845,0.5135385,0.522671
14,1.028743,14,1.026348,14,1.042118,0.5143715,0.513174,0.521059
15,1.028396,15,1.025729,15,1.039464,0.514198,0.5128645,0.519732
16,1.028113,16,1.025205,16,1.037283,0.5140565,0.5126025,0.5186415
17,1.027883,17,1.02476,17,1.035495,0.5139415,0.51238,0.5177475
18,1.027695,18,1.024383,18,1.034031,0.5138475,0.5121915,0.5170155
19,1.027542,19,1.024063,19,1.032835,0.513771,0.5120315,0.5164175
20,1.027417,20,1.023793,20,1.031857,0.5137085,0.5118965,0.5159285
21,1.027316,21,1.023564,21,1.031059,0.513658,0.511782,0.5155295
22,1.027233,22,1.02337,22,1.030409,0.5136165,0.511685,0.5152045
23,1.027166,23,1.023205,23,1.029879,0.513583,0.5116025,0.5149395
24,1.027111,24,1.023067,24,1.029448,0.5135555,0.5115335,0.514724
25,1.027066,25,1.022949,25,1.029096,0.513533,0.5114745,0.514548
26,1.027029,26,1.02285,26,1.028811,0.5135145,0.511425,0.5144055
27,1.027,27,1.022766,27,1.028579,0.5135,0.511383,0.5142895
28,1.026976,28,1.022695,28,1.02839,0.513488,0.5113475,0.514195
29,1.026956,29,1.022635,29,1.028237,0.513478,0.5113175,0.5141185
30,1.02694,30,1.022584,30,1.028113,0.51347,0.511292,0.5140565
31,1.026928,31,1.022541,31,1.028012,0.513464,0.5112705,0.514006
32,1.026917,32,1.022505,32,1.02793,0.5134585,0.5112525,0.513965
33,1.026909,33,1.022475,33,1.027864,0.5134545,0.5112375,0.513932
34,1.026903,34,1.022449,34,1.027811,0.5134515,0.5112245,0.5139055
35,1.026897,35,1.022427,35,1.027768,0.5134485,0.5112135,0.513884
36,1.026893,36,1.022409,36,1.027733,0.5134465,0.5112045,0.5138665
37,1.02689,37,1.022393,37,1.027706,0.513445,0.5111965,0.513853
38,1.026888,38,1.02238,38,1.027684,0.513444,0.51119,0.513842
39,1.026886,39,1.022369,39,1.027666,0.513443,0.5111845,0.513833
40,1.026885,40,1.02236,40,1.027652,0.5134425,0.51118,0.513826
41,1.026885,41,1.022352,41,1.027641,0.5134425,0.511176,0.5138205
42,1.026884,42,1.022345,42,1.027633,0.513442,0.5111725,0.5138165
43,1.026884,43,1.02234,43,1.027626,0.513442,0.51117,0.513813
44,1.026885,44,1.022335,44,1.027621,0.5134425,0.5111675,0.5138105
45,1.026885,45,1.022331,45,1.027618,0.5134425,0.5111655,0.513809
46,1.026886,46,1.022328,46,1.027615,0.513443,0.511164,0.5138075
47,1.026887,47,1.022325,47,1.027614,0.5134435,0.5111625,0.513807
48,1.026888,48,1.022322,48,1.027613,0.513444,0.511161,0.5138065
49,1.026889,49,1.02232,49,1.027613,0.5134445,0.51116,0.5138065
50,1.02689,50,1.022319,50,1.027613,0.513445,0.5111595,0.5138065
51,1.026891,51,1.022317,51,1.027613,0.5134455,0.5111585,0.5138065
52,1.026893,52,1.022316,52,1.027614,0.5134465,0.511158,0.513807
53,1.026894,53,1.022315,53,1.027616,0.513447,0.5111575,0.513808
54,1.026895,54,1.022314,54,1.027617,0.5134475,0.511157,0.5138085
55,1.026897,55,1.022313,55,1.027619,0.5134485,0.5111565,0.5138095
56,1.026898,56,1.022312,56,1.02762,0.513449,0.511156,0.51381
57,1.0269,57,1.022312,57,1.027622,0.51345,0.511156,0.513811
58,1.026901,58,1.022311,58,1.027624,0.5134505,0.5111555,0.513812
59,1.026903,59,1.022311,59,1.027626,0.5134515,0.5111555,0.513813
60,1.026905,60,1.02231,60,1.027628,0.5134525,0.511155,0.513814
61,1.026906,61,1.02231,61,1.02763,0.513453,0.511155,0.513815
62,1.026908,62,1.02231,62,1.027632,0.513454,0.511155,0.513816
63,1.026909,63,1.02231,63,1.027635,0.5134545,0.511155,0.5138175
64,1.026911,64,1.022309,64,1.027637,0.5134555,0.5111545,0.5138185
65,1.026913,65,1.022309,65,1.027639,0.5134565,0.5111545,0.5138195
66,1.026914,66,1.022309,66,1.027641,0.513457,0.5111545,0.5138205
67,1.026916,67,1.022309,67,1.027644,0.513458,0.5111545,0.513822
68,1.026918,68,1.022309,68,1.027646,0.513459,0.5111545,0.513823
69,1.026919,69,1.022309,69,1.027648,0.5134595,0.5111545,0.513824
70,1.026921,70,1.022308,70,1.027651,0.5134605,0.511154,0.5138255
71,1.026923,71,1.022308,71,1.027653,0.5134615,0.511154,0.5138265
72,1.026924,72,1.022308,72,1.027656,0.513462,0.511154,0.513828
73,1.026926,73,1.022308,73,1.027658,0.513463,0.511154,0.513829
74,1.026928,74,1.022308,74,1.02766,0.513464,0.511154,0.51383
75,1.026929,75,1.022308,75,1.027663,0.5134645,0.511154,0.5138315
76,1.026931,76,1.022308,76,1.027665,0.5134655,0.511154,0.5138325
77,1.026933,77,1.022308,77,1.027668,0.5134665,0.511154,0.513834
78,1.026934,78,1.022308,78,1.02767,0.513467,0.511154,0.513835
79,1.026936,79,1.022308,79,1.027672,0.513468,0.511154,0.513836
80,1.026938,80,1.022308,80,1.027675,0.513469,0.511154,0.5138375
81,1.02694,81,1.022308,81,1.027677,0.51347,0.511154,0.5138385
82,1.026941,82,1.022308,82,1.02768,0.5134705,0.511154,0.51384
83,1.026943,83,1.022308,83,1.027682,0.5134715,0.511154,0.513841
84,1.026945,84,1.022308,84,1.027685,0.5134725,0.511154,0.5138425
85,1.026946,85,1.022308,85,1.027687,0.513473,0.511154,0.5138435
86,1.026948,86,1.022308,86,1.02769,0.513474,0.511154,0.513845
87,1.026949,87,1.022308,87,1.027692,0.5134745,0.511154,0.513846
88,1.026951,88,1.022308,88,1.027694,0.5134755,0.511154,0.513847
89,1.026953,89,1.022308,89,1.027697,0.5134765,0.511154,0.5138485
90,1.026954,90,1.022308,90,1.027699,0.513477,0.511154,0.5138495
91,1.026956,91,1.022308,91,1.027702,0.513478,0.511154,0.513851
92,1.026958,92,1.022308,92,1.027704,0.513479,0.511154,0.513852
93,1.026959,93,1.022308,93,1.027707,0.5134795,0.511154,0.5138535
94,1.026961,94,1.022309,94,1.027709,0.5134805,0.5111545,0.5138545
95,1.026963,95,1.022309,95,1.027712,0.5134815,0.5111545,0.513856
96,1.026964,96,1.022309,96,1.027714,0.513482,0.5111545,0.513857
97,1.026966,97,1.022309,97,1.027717,0.513483,0.5111545,0.5138585
98,1.026967,98,1.022309,98,1.027719,0.5134835,0.5111545,0.5138595
99,1.026969,99,1.022309,99,1.027722,0.5134845,0.5111545,0.513861
100,1.026971,100,1.022309,100,1.027724,0.5134855,0.5111545,0.513862
101,1.026972,101,1.02231,101,1.027727,0.513486,0.511155,0.5138635
102,1.026974,102,1.02231,102,1.027729,0.513487,0.511155,0.5138645
103,1.026975,103,1.02231,103,1.027732,0.5134875,0.511155,0.513866
104,1.026977,104,1.02231,104,1.027735,0.5134885,0.511155,0.5138675
105,1.026979,105,1.02231,105,1.027737,0.5134895,0.511155,0.5138685
106,1.02698,106,1.022311,106,1.02774,0.51349,0.5111555,0.51387
107,1.026982,107,1.022311,107,1.027742,0.513491,0.5111555,0.513871
108,1.026983,108,1.022311,108,1.027745,0.5134915,0.5111555,0.5138725
109,1.026985,109,1.022311,109,1.027747,0.5134925,0.5111555,0.5138735
110,1.026986,110,1.022312,110,1.02775,0.513493,0.511156,0.513875
111,1.026988,111,1.022312,111,1.027752,0.513494,0.511156,0.513876
112,1.026989,112,1.022312,112,1.027755,0.5134945,0.511156,0.5138775
113,1.026991,113,1.022312,113,1.027757,0.5134955,0.511156,0.5138785
114,1.026992,114,1.022313,114,1.02776,0.513496,0.5111565,0.51388
115,1.026994,115,1.022313,115,1.027763,0.513497,0.5111565,0.5138815
116,1.026996,116,1.022313,116,1.027765,0.513498,0.5111565,0.5138825
117,1.026997,117,1.022314,117,1.027768,0.5134985,0.511157,0.513884
118,1.026999,118,1.022314,118,1.02777,0.5134995,0.511157,0.513885
119,1.027,119,1.022314,119,1.027773,0.5135,0.511157,0.5138865
120,1.027002,120,1.022315,120,1.027775,0.513501,0.5111575,0.5138875
121,1.027003,121,1.022315,121,1.027778,0.5135015,0.5111575,0.513889
122,1.027005,122,1.022315,122,1.027781,0.5135025,0.5111575,0.5138905
123,1.027006,123,1.022316,123,1.027783,0.513503,0.511158,0.5138915
124,1.027008,124,1.022316,124,1.027786,0.513504,0.511158,0.513893
125,1.027009,125,1.022316,125,1.027788,0.5135045,0.511158,0.513894
126,1.02701,126,1.022317,126,1.027791,0.513505,0.5111585,0.5138955
127,1.027012,127,1.022317,127,1.027794,0.513506,0.5111585,0.513897
128,1.027013,128,1.022318,128,1.027796,0.5135065,0.511159,0.513898
129,1.027015,129,1.022318,129,1.027799,0.5135075,0.511159,0.5138995
130,1.027016,130,1.022318,130,1.027801,0.513508,0.511159,0.5139005
131,1.027018,131,1.022319,131,1.027804,0.513509,0.5111595,0.513902
132,1.027019,132,1.022319,132,1.027807,0.5135095,0.5111595,0.5139035
133,1.027021,133,1.02232,133,1.027809,0.5135105,0.51116,0.5139045
134,1.027022,134,1.02232,134,1.027812,0.513511,0.51116,0.513906
135,1.027023,135,1.022321,135,1.027815,0.5135115,0.5111605,0.5139075
136,1.027025,136,1.022321,136,1.027817,0.5135125,0.5111605,0.5139085
137,1.027026,137,1.022322,137,1.02782,0.513513,0.511161,0.51391
138,1.027028,138,1.022322,138,1.027822,0.513514,0.511161,0.513911
139,1.027029,139,1.022323,139,1.027825,0.5135145,0.5111615,0.5139125
140,1.02703,140,1.022323,140,1.027828,0.513515,0.5111615,0.513914
141,1.027032,141,1.022324,141,1.02783,0.513516,0.511162,0.513915
142,1.027033,142,1.022324,142,1.027833,0.5135165,0.511162,0.5139165
143,1.027034,143,1.022325,143,1.027836,0.513517,0.5111625,0.513918
144,1.027036,144,1.022325,144,1.027838,0.513518,0.5111625,0.513919
145,1.027037,145,1.022326,145,1.027841,0.5135185,0.511163,0.5139205
146,1.027039,146,1.022326,146,1.027844,0.5135195,0.511163,0.513922
147,1.02704,147,1.022327,147,1.027846,0.51352,0.5111635,0.513923
148,1.027041,148,1.022328,148,1.027849,0.5135205,0.511164,0.5139245
149,1.027043,149,1.022328,149,1.027852,0.5135215,0.511164,0.513926
150,1.027044,150,1.022329,150,1.027854,0.513522,0.5111645,0.513927
151,1.027045,151,1.022329,151,1.027857,0.5135225,0.5111645,0.5139285
152,1.027046,152,1.02233,152,1.02786,0.513523,0.511165,0.51393
153,1.027048,153,1.022331,153,1.027862,0.513524,0.5111655,0.513931
154,1.027049,154,1.022331,154,1.027865,0.5135245,0.5111655,0.5139325
155,1.02705,155,1.022332,155,1.027868,0.513525,0.511166,0.513934
156,1.027052,156,1.022332,156,1.02787,0.513526,0.511166,0.513935
157,1.027053,157,1.022333,157,1.027873,0.5135265,0.5111665,0.5139365
158,1.027054,158,1.022334,158,1.027876,0.513527,0.511167,0.513938
159,1.027055,159,1.022334,159,1.027879,0.5135275,0.511167,0.5139395
160,1.027057,160,1.022335,160,1.027881,0.5135285,0.5111675,0.5139405
161,1.027058,161,1.022336,161,1.027884,0.513529,0.511168,0.513942
162,1.027059,162,1.022336,162,1.027887,0.5135295,0.511168,0.5139435
163,1.02706,163,1.022337,163,1.027889,0.51353,0.5111685,0.5139445
164,1.027062,164,1.022338,164,1.027892,0.513531,0.511169,0.513946
165,1.027063,165,1.022339,165,1.027895,0.5135315,0.5111695,0.5139475
166,1.027064,166,1.022339,166,1.027898,0.513532,0.5111695,0.513949
167,1.027065,167,1.02234,167,1.0279,0.5135325,0.51117,0.51395
168,1.027066,168,1.022341,168,1.027903,0.513533,0.5111705,0.5139515
169,1.027068,169,1.022341,169,1.027906,0.513534,0.5111705,0.513953
170,1.027069,170,1.022342,170,1.027908,0.5135345,0.511171,0.513954
171,1.02707,171,1.022343,171,1.027911,0.513535,0.5111715,0.5139555
172,1.027071,172,1.022344,172,1.027914,0.5135355,0.511172,0.513957
173,1.027072,173,1.022344,173,1.027917,0.513536,0.511172,0.5139585
174,1.027073,174,1.022345,174,1.027919,0.5135365,0.5111725,0.5139595
175,1.027074,175,1.022346,175,1.027922,0.513537,0.511173,0.513961
176,1.027076,176,1.022347,176,1.027925,0.513538,0.5111735,0.5139625
177,1.027077,177,1.022348,177,1.027928,0.5135385,0.511174,0.513964
178,1.027078,178,1.022348,178,1.02793,0.513539,0.511174,0.513965
179,1.027079,179,1.022349,179,1.027933,0.5135395,0.5111745,0.5139665
180,1.02708,180,1.02235,180,1.027936,0.51354,0.511175,0.513968
181,1.027081,181,1.022351,181,1.027939,0.5135405,0.5111755,0.5139695
182,1.027082,182,1.022352,182,1.027941,0.513541,0.511176,0.5139705
183,1.027083,183,1.022353,183,1.027944,0.5135415,0.5111765,0.513972
184,1.027084,184,1.022353,184,1.027947,0.513542,0.5111765,0.5139735
185,1.027085,185,1.022354,185,1.02795,0.5135425,0.511177,0.513975
186,1.027086,186,1.022355,186,1.027953,0.513543,0.5111775,0.5139765
187,1.027087,187,1.022356,187,1.027955,0.5135435,0.511178,0.5139775
188,1.027088,188,1.022357,188,1.027958,0.513544,0.5111785,0.513979
189,1.027089,189,1.022358,189,1.027961,0.5135445,0.511179,0.5139805
190,1.02709,190,1.022359,190,1.027964,0.513545,0.5111795,0.513982
191,1.027091,191,1.022359,191,1.027966,0.5135455,0.5111795,0.513983
192,1.027092,192,1.02236,192,1.027969,0.513546,0.51118,0.5139845
193,1.027093,193,1.022361,193,1.027972,0.5135465,0.5111805,0.513986
194,1.027094,194,1.022362,194,1.027975,0.513547,0.511181,0.5139875
195,1.027095,195,1.022363,195,1.027978,0.5135475,0.5111815,0.513989
196,1.027096,196,1.022364,196,1.02798,0.513548,0.511182,0.51399
197,1.027097,197,1.022365,197,1.027983,0.5135485,0.5111825,0.5139915
198,1.027098,198,1.022366,198,1.027986,0.513549,0.511183,0.513993
199,1.027099,199,1.022367,199,1.027989,0.5135495,0.5111835,0.5139945
200,1.0271,200,1.022368,200,1.027992,0.51355,0.511184,0.513996
201,1.027101,201,1.022369,201,1.027995,0.5135505,0.5111845,0.5139975
202,1.027102,202,1.02237,202,1.027997,0.513551,0.511185,0.5139985
203,1.027103,203,1.022371,203,1.028,0.5135515,0.5111855,0.514
204,1.027104,204,1.022372,204,1.028003,0.513552,0.511186,0.5140015
205,1.027105,205,1.022373,205,1.028006,0.5135525,0.5111865,0.514003
206,1.027105,206,1.022374,206,1.028009,0.5135525,0.511187,0.5140045
207,1.027106,207,1.022375,207,1.028011,0.513553,0.5111875,0.5140055
208,1.027107,208,1.022376,208,1.028014,0.5135535,0.511188,0.514007
209,1.027108,209,1.022377,209,1.028017,0.513554,0.5111885,0.5140085
210,1.027109,210,1.022378,210,1.02802,0.5135545,0.511189,0.51401
211,1.02711,211,1.022379,211,1.028023,0.513555,0.5111895,0.5140115
212,1.02711,212,1.02238,212,1.028026,0.513555,0.51119,0.514013
213,1.027111,213,1.022381,213,1.028028,0.5135555,0.5111905,0.514014
214,1.027112,214,1.022382,214,1.028031,0.513556,0.511191,0.5140155
215,1.027113,215,1.022383,215,1.028034,0.5135565,0.5111915,0.514017
216,1.027113,216,1.022384,216,1.028037,0.5135565,0.511192,0.5140185
217,1.027114,217,1.022385,217,1.02804,0.513557,0.5111925,0.51402
218,1.027115,218,1.022386,218,1.028043,0.5135575,0.511193,0.5140215
219,1.027116,219,1.022387,219,1.028046,0.513558,0.5111935,0.514023
220,1.027116,220,1.022388,220,1.028048,0.513558,0.511194,0.514024
221,1.027117,221,1.022389,221,1.028051,0.5135585,0.5111945,0.5140255
222,1.027118,222,1.02239,222,1.028054,0.513559,0.511195,0.514027
223,1.027119,223,1.022391,223,1.028057,0.5135595,0.5111955,0.5140285
224,1.027119,224,1.022392,224,1.02806,0.5135595,0.511196,0.51403
225,1.02712,225,1.022394,225,1.028063,0.51356,0.511197,0.5140315
226,1.027121,226,1.022395,226,1.028066,0.5135605,0.5111975,0.514033
227,1.027121,227,1.022396,227,1.028069,0.5135605,0.511198,0.5140345
228,1.027122,228,1.022397,228,1.028072,0.513561,0.5111985,0.514036
229,1.027122,229,1.022398,229,1.028074,0.513561,0.511199,0.514037
230,1.027123,230,1.022399,230,1.028077,0.5135615,0.5111995,0.5140385
231,1.027124,231,1.0224,231,1.02808,0.513562,0.5112,0.51404
232,1.027124,232,1.022401,232,1.028083,0.513562,0.5112005,0.5140415
233,1.027125,233,1.022403,233,1.028086,0.5135625,0.5112015,0.514043
234,1.027125,234,1.022404,234,1.028089,0.5135625,0.511202,0.5140445
235,1.027126,235,1.022405,235,1.028092,0.513563,0.5112025,0.514046
236,1.027127,236,1.022406,236,1.028095,0.5135635,0.511203,0.5140475
237,1.027127,237,1.022407,237,1.028098,0.5135635,0.5112035,0.514049
238,1.027128,238,1.022408,238,1.0281,0.513564,0.511204,0.51405
239,1.027128,239,1.02241,239,1.028103,0.513564,0.511205,0.5140515
240,1.027129,240,1.022411,240,1.028106,0.5135645,0.5112055,0.514053
241,1.027129,241,1.022412,241,1.028109,0.5135645,0.511206,0.5140545
242,1.02713,242,1.022413,242,1.028112,0.513565,0.5112065,0.514056
243,1.02713,243,1.022414,243,1.028115,0.513565,0.511207,0.5140575
244,1.027131,244,1.022416,244,1.028118,0.5135655,0.511208,0.514059
245,1.027131,245,1.022417,245,1.028121,0.5135655,0.5112085,0.5140605
246,1.027131,246,1.022418,246,1.028124,0.5135655,0.511209,0.514062
247,1.027132,247,1.022419,247,1.028127,0.513566,0.5112095,0.5140635
248,1.027132,248,1.022421,248,1.02813,0.513566,0.5112105,0.514065
