Epoch Number, Total Squared Error, 
0, 1.205255, 
1, 1.181601, 
2, 1.160037, 
3, 1.140651, 
4, 1.123450, 
5, 1.108371, 
6, 1.095294, 
7, 1.084064, 
8, 1.074502, 
9, 1.066419, 
10, 1.059631, 
11, 1.053961, 
12, 1.049247, 
13, 1.045342, 
14, 1.042118, 
15, 1.039464, 
16, 1.037283, 
17, 1.035495, 
18, 1.034031, 
19, 1.032835, 
20, 1.031857, 
21, 1.031059, 
22, 1.030409, 
23, 1.029879, 
24, 1.029448, 
25, 1.029096, 
26, 1.028811, 
27, 1.028579, 
28, 1.028390, 
29, 1.028237, 
30, 1.028113, 
31, 1.028012, 
32, 1.027930, 
33, 1.027864, 
34, 1.027811, 
35, 1.027768, 
36, 1.027733, 
37, 1.027706, 
38, 1.027684, 
39, 1.027666, 
40, 1.027652, 
41, 1.027641, 
42, 1.027633, 
43, 1.027626, 
44, 1.027621, 
45, 1.027618, 
46, 1.027615, 
47, 1.027614, 
48, 1.027613, 
49, 1.027613, 
50, 1.027613, 
51, 1.027613, 
52, 1.027614, 
53, 1.027616, 
54, 1.027617, 
55, 1.027619, 
56, 1.027620, 
57, 1.027622, 
58, 1.027624, 
59, 1.027626, 
60, 1.027628, 
61, 1.027630, 
62, 1.027632, 
63, 1.027635, 
64, 1.027637, 
65, 1.027639, 
66, 1.027641, 
67, 1.027644, 
68, 1.027646, 
69, 1.027648, 
70, 1.027651, 
71, 1.027653, 
72, 1.027656, 
73, 1.027658, 
74, 1.027660, 
75, 1.027663, 
76, 1.027665, 
77, 1.027668, 
78, 1.027670, 
79, 1.027672, 
80, 1.027675, 
81, 1.027677, 
82, 1.027680, 
83, 1.027682, 
84, 1.027685, 
85, 1.027687, 
86, 1.027690, 
87, 1.027692, 
88, 1.027694, 
89, 1.027697, 
90, 1.027699, 
91, 1.027702, 
92, 1.027704, 
93, 1.027707, 
94, 1.027709, 
95, 1.027712, 
96, 1.027714, 
97, 1.027717, 
98, 1.027719, 
99, 1.027722, 
100, 1.027724, 
101, 1.027727, 
102, 1.027729, 
103, 1.027732, 
104, 1.027735, 
105, 1.027737, 
106, 1.027740, 
107, 1.027742, 
108, 1.027745, 
109, 1.027747, 
110, 1.027750, 
111, 1.027752, 
112, 1.027755, 
113, 1.027757, 
114, 1.027760, 
115, 1.027763, 
116, 1.027765, 
117, 1.027768, 
118, 1.027770, 
119, 1.027773, 
120, 1.027775, 
121, 1.027778, 
122, 1.027781, 
123, 1.027783, 
124, 1.027786, 
125, 1.027788, 
126, 1.027791, 
127, 1.027794, 
128, 1.027796, 
129, 1.027799, 
130, 1.027801, 
131, 1.027804, 
132, 1.027807, 
133, 1.027809, 
134, 1.027812, 
135, 1.027815, 
136, 1.027817, 
137, 1.027820, 
138, 1.027822, 
139, 1.027825, 
140, 1.027828, 
141, 1.027830, 
142, 1.027833, 
143, 1.027836, 
144, 1.027838, 
145, 1.027841, 
146, 1.027844, 
147, 1.027846, 
148, 1.027849, 
149, 1.027852, 
150, 1.027854, 
151, 1.027857, 
152, 1.027860, 
153, 1.027862, 
154, 1.027865, 
155, 1.027868, 
156, 1.027870, 
157, 1.027873, 
158, 1.027876, 
159, 1.027879, 
160, 1.027881, 
161, 1.027884, 
162, 1.027887, 
163, 1.027889, 
164, 1.027892, 
165, 1.027895, 
166, 1.027898, 
167, 1.027900, 
168, 1.027903, 
169, 1.027906, 
170, 1.027908, 
171, 1.027911, 
172, 1.027914, 
173, 1.027917, 
174, 1.027919, 
175, 1.027922, 
176, 1.027925, 
177, 1.027928, 
178, 1.027930, 
179, 1.027933, 
180, 1.027936, 
181, 1.027939, 
182, 1.027941, 
183, 1.027944, 
184, 1.027947, 
185, 1.027950, 
186, 1.027953, 
187, 1.027955, 
188, 1.027958, 
189, 1.027961, 
190, 1.027964, 
191, 1.027966, 
192, 1.027969, 
193, 1.027972, 
194, 1.027975, 
195, 1.027978, 
196, 1.027980, 
197, 1.027983, 
198, 1.027986, 
199, 1.027989, 
200, 1.027992, 
201, 1.027995, 
202, 1.027997, 
203, 1.028000, 
204, 1.028003, 
205, 1.028006, 
206, 1.028009, 
207, 1.028011, 
208, 1.028014, 
209, 1.028017, 
210, 1.028020, 
211, 1.028023, 
212, 1.028026, 
213, 1.028028, 
214, 1.028031, 
215, 1.028034, 
216, 1.028037, 
217, 1.028040, 
218, 1.028043, 
219, 1.028046, 
220, 1.028048, 
221, 1.028051, 
222, 1.028054, 
223, 1.028057, 
224, 1.028060, 
225, 1.028063, 
226, 1.028066, 
227, 1.028069, 
228, 1.028072, 
229, 1.028074, 
230, 1.028077, 
231, 1.028080, 
232, 1.028083, 
233, 1.028086, 
234, 1.028089, 
235, 1.028092, 
236, 1.028095, 
237, 1.028098, 
238, 1.028100, 
239, 1.028103, 
240, 1.028106, 
241, 1.028109, 
242, 1.028112, 
243, 1.028115, 
244, 1.028118, 
245, 1.028121, 
246, 1.028124, 
247, 1.028127, 
248, 1.028130, 
249, 1.028133, 
250, 1.028136, 
251, 1.028139, 
252, 1.028141, 
253, 1.028144, 
254, 1.028147, 
255, 1.028150, 
256, 1.028153, 
257, 1.028156, 
258, 1.028159, 
259, 1.028162, 
260, 1.028165, 
261, 1.028168, 
262, 1.028171, 
263, 1.028174, 
264, 1.028177, 
265, 1.028180, 
266, 1.028183, 
267, 1.028186, 
268, 1.028189, 
269, 1.028192, 
270, 1.028195, 
271, 1.028198, 
272, 1.028201, 
273, 1.028204, 
274, 1.028207, 
275, 1.028210, 
276, 1.028213, 
277, 1.028216, 
278, 1.028219, 
279, 1.028222, 
280, 1.028225, 
281, 1.028228, 
282, 1.028231, 
283, 1.028234, 
284, 1.028237, 
285, 1.028240, 
